uik;okrug;tik;voters;voted;turnout;leader;leader_pct;triggers
126;Самарский;Алексеевская;306;276;90.2;Фетисов;60.87;дубль голосов лидера(>=3 УИК)
401;Самарский;Большеглушицкая;869;739;85.04;Фетисов;77.67;явка~круглое±0.05
403;Самарский;Большеглушицкая;406;345;84.98;Фетисов;82.9;"явка~круглое±0.05; дубль голосов лидера(>=3 УИК)"
410;Самарский;Большеглушицкая;134;115;85.82;Фетисов;64.35;у оппозиции ровно 1 голос
414;Самарский;Большеглушицкая;436;371;85.09;Фетисов;77.09;дубль голосов лидера(>=3 УИК)
416;Самарский;Большеглушицкая;435;370;85.06;Фетисов;77.3;дубль голосов лидера(>=3 УИК)
419;Самарский;Большеглушицкая;1377;1197;86.93;Фетисов;84.96;лидер~полка±0.05
422;Самарский;Большеглушицкая;686;592;86.3;Фетисов;77.03;дубль голосов лидера(>=3 УИК)
502;Самарский;Большечерниговская;534;506;94.76;Фетисов;90.12;дубль голосов лидера(>=3 УИК)
503;Самарский;Большечерниговская;354;326;92.09;Фетисов;83.44;дубль голосов лидера(>=3 УИК)
505;Самарский;Большечерниговская;521;500;95.97;Фетисов;94.0;"явка>=95 и лидер>=90; у оппозиции ровно 1 голос"
508;Самарский;Большечерниговская;1051;946;90.01;Фетисов;82.77;явка~круглое±0.05
510;Самарский;Большечерниговская;640;608;95.0;Фетисов;94.9;"явка=точное 95%; явка~круглое±0.05; явка>=95 и лидер>=90; у оппозиции ровно 1 голос"
515;Самарский;Большечерниговская;224;219;97.77;Фетисов;80.82;у оппозиции ровно 1 голос
516;Самарский;Большечерниговская;199;195;97.99;Фетисов;86.15;дубль голосов лидера(>=3 УИК)
517;Самарский;Большечерниговская;203;198;97.54;Фетисов;91.92;явка>=95 и лидер>=90
518;Самарский;Большечерниговская;254;245;96.46;Фетисов;90.61;"явка>=95 и лидер>=90; дубль голосов лидера(>=3 УИК); у оппозиции ровно 1 голос"
522;Самарский;Большечерниговская;309;306;99.03;Фетисов;79.74;у оппозиции ровно 1 голос
524;Самарский;Большечерниговская;294;292;99.32;Фетисов;90.07;явка>=95 и лидер>=90
526;Самарский;Большечерниговская;148;146;98.65;Фетисов;90.41;явка>=95 и лидер>=90
527;Самарский;Большечерниговская;693;660;95.24;Фетисов;85.0;лидер~полка±0.05
711;Самарский;Волжская-159;798;601;75.31;Фетисов;85.02;"лидер~полка±0.05; у оппозиции ровно 1 голос"
716;Самарский;Волжская-159;1275;956;74.98;Фетисов;84.31;явка~круглое±0.05
744;Самарский;Волжская-159;373;306;82.04;Фетисов;84.64;у оппозиции ровно 1 голос
746;Самарский;Волжская-159;1217;659;54.15;Фетисов;53.41;дубль голосов лидера(>=3 УИК)
1805;Самарский;Нефтегорская;122;107;87.7;Фетисов;66.36;у оппозиции ровно 1 голос
1808;Самарский;Нефтегорская;839;695;82.84;Фетисов;65.61;дубль голосов лидера(>=3 УИК)
1821;Самарский;Нефтегорская;759;759;100.0;Фетисов;68.91;"явка>=99.5%; явка=точное 100%"
1906;Самарский;Новокуйбышевская городская;1562;878;56.21;Фетисов;25.28;дубль голосов лидера(>=3 УИК)
1927;Самарский;Новокуйбышевская городская;1429;863;60.39;Фетисов;40.79;дубль голосов лидера(>=3 УИК)
1930;Самарский;Новокуйбышевская городская;1756;929;52.9;Фетисов;31.22;дубль голосов лидера(>=3 УИК)
1931;Самарский;Новокуйбышевская городская;1490;782;52.48;Фетисов;28.39;дубль голосов лидера(>=3 УИК)
1944;Самарский;Новокуйбышевская городская;1698;810;47.7;Фетисов;25.8;дубль голосов лидера(>=3 УИК)
