uik;okrug;tik;voters;turnout_pct;candidates_with_pct
118;Самарский;Алексеевская;361;88.64;Диянчук: 2.8%, Лескин: 7.2%, Микулов: 1.6%, Селиванов: 2.2%, Степанов: 5.0%, Томчук: 2.2%, Фетисов: 78.4%
126;Самарский;Алексеевская;306;90.20;Диянчук: 6.5%, Лескин: 10.9%, Микулов: 6.2%, Селиванов: 6.5%, Степанов: 5.1%, Томчук: 4.0%, Фетисов: 60.9%
127;Самарский;Алексеевская;314;89.81;Диянчук: 2.1%, Лескин: 10.3%, Микулов: 4.3%, Селиванов: 0.0%, Степанов: 0.0%, Томчук: 3.2%, Фетисов: 80.1%
401;Самарский;Большеглушицкая;869;85.04;Диянчук: 5.7%, Лескин: 4.7%, Микулов: 2.4%, Селиванов: 3.2%, Степанов: 1.6%, Томчук: 4.6%, Фетисов: 77.7%
402;Самарский;Большеглушицкая;453;86.75;Диянчук: 1.8%, Лескин: 7.6%, Микулов: 1.3%, Селиванов: 1.8%, Степанов: 5.8%, Томчук: 5.1%, Фетисов: 76.6%
403;Самарский;Большеглушицкая;406;84.98;Диянчук: 3.2%, Лескин: 3.8%, Микулов: 2.0%, Селиванов: 1.2%, Степанов: 4.3%, Томчук: 2.6%, Фетисов: 82.9%
404;Самарский;Большеглушицкая;132;79.55;Диянчук: 2.9%, Лескин: 10.5%, Микулов: 2.9%, Селиванов: 3.8%, Степанов: 7.6%, Томчук: 3.8%, Фетисов: 64.8%
405;Самарский;Большеглушицкая;615;84.88;Диянчук: 1.5%, Лескин: 6.3%, Микулов: 3.3%, Селиванов: 3.1%, Степанов: 6.7%, Томчук: 2.5%, Фетисов: 76.0%
406;Самарский;Большеглушицкая;404;85.64;Диянчук: 3.2%, Лескин: 7.2%, Микулов: 4.6%, Селиванов: 1.4%, Степанов: 3.2%, Томчук: 2.0%, Фетисов: 77.2%
407;Самарский;Большеглушицкая;392;85.71;Диянчук: 2.1%, Лескин: 4.8%, Микулов: 3.6%, Селиванов: 2.4%, Степанов: 6.5%, Томчук: 3.0%, Фетисов: 75.9%
408;Самарский;Большеглушицкая;353;87.25;Диянчук: 1.6%, Лескин: 11.0%, Микулов: 5.5%, Селиванов: 1.3%, Степанов: 2.3%, Томчук: 1.9%, Фетисов: 75.7%
410;Самарский;Большеглушицкая;134;85.82;Диянчук: 0.9%, Лескин: 7.8%, Микулов: 3.5%, Селиванов: 6.1%, Степанов: 9.6%, Томчук: 7.8%, Фетисов: 64.3%
411;Самарский;Большеглушицкая;758;92.88;Диянчук: 3.1%, Лескин: 6.7%, Микулов: 5.5%, Селиванов: 2.6%, Степанов: 3.0%, Томчук: 1.6%, Фетисов: 77.6%
412;Самарский;Большеглушицкая;411;92.21;Диянчук: 1.3%, Лескин: 7.7%, Микулов: 3.4%, Селиванов: 2.4%, Степанов: 3.7%, Томчук: 1.6%, Фетисов: 80.0%
413;Самарский;Большеглушицкая;169;85.80;Диянчук: 2.1%, Лескин: 11.7%, Микулов: 7.6%, Селиванов: 5.5%, Степанов: 1.4%, Томчук: 1.4%, Фетисов: 69.7%
414;Самарский;Большеглушицкая;436;85.09;Диянчук: 1.4%, Лескин: 0.0%, Микулов: 4.0%, Селиванов: 4.0%, Степанов: 11.9%, Томчук: 0.0%, Фетисов: 77.1%
415;Самарский;Большеглушицкая;246;87.40;Диянчук: 0.0%, Лескин: 6.0%, Микулов: 2.3%, Селиванов: 4.7%, Степанов: 3.3%, Томчук: 4.2%, Фетисов: 77.7%
416;Самарский;Большеглушицкая;435;85.06;Диянчук: 2.4%, Лескин: 5.1%, Микулов: 3.0%, Селиванов: 3.2%, Степанов: 6.2%, Томчук: 2.7%, Фетисов: 77.3%
417;Самарский;Большеглушицкая;716;85.75;Диянчук: 2.8%, Лескин: 4.2%, Микулов: 2.6%, Селиванов: 1.9%, Степанов: 5.0%, Томчук: 1.9%, Фетисов: 81.4%
418;Самарский;Большеглушицкая;686;84.55;Диянчук: 2.2%, Лескин: 2.9%, Микулов: 1.4%, Селиванов: 2.8%, Степанов: 4.8%, Томчук: 8.6%, Фетисов: 76.9%
419;Самарский;Большеглушицкая;1377;86.93;Диянчук: 2.1%, Лескин: 3.3%, Микулов: 1.8%, Селиванов: 1.9%, Степанов: 3.2%, Томчук: 2.1%, Фетисов: 85.0%
420;Самарский;Большеглушицкая;728;87.50;Диянчук: 3.3%, Лескин: 1.4%, Микулов: 6.6%, Селиванов: 0.5%, Степанов: 2.5%, Томчук: 7.1%, Фетисов: 75.0%
421;Самарский;Большеглушицкая;712;84.69;Диянчук: 1.7%, Лескин: 4.6%, Микулов: 7.1%, Селиванов: 2.2%, Степанов: 4.6%, Томчук: 2.6%, Фетисов: 77.1%
422;Самарский;Большеглушицкая;686;86.30;Диянчук: 4.2%, Лескин: 5.7%, Микулов: 1.4%, Селиванов: 2.9%, Степанов: 4.4%, Томчук: 1.0%, Фетисов: 77.0%
423;Самарский;Большеглушицкая;1355;87.16;Диянчук: 7.4%, Лескин: 1.9%, Микулов: 0.4%, Селиванов: 3.4%, Степанов: 5.2%, Томчук: 0.7%, Фетисов: 78.0%
501;Самарский;Большечерниговская;1023;88.37;Диянчук: 0.9%, Лескин: 6.5%, Микулов: 1.0%, Селиванов: 0.0%, Степанов: 1.3%, Томчук: 3.4%, Фетисов: 86.4%
502;Самарский;Большечерниговская;534;94.76;Диянчук: 2.0%, Лескин: 3.0%, Микулов: 1.6%, Селиванов: 2.4%, Степанов: 0.6%, Томчук: 0.4%, Фетисов: 90.1%
